State,state_code,deaths,Pop,Age_grp,Year_grp,age,year,cohort,censor
Florida,12,312,5201629,55-59,2002-2006,57,2004,1947,0
Georgia,13,57,2405936,55-59,2002-2006,57,2004,1947,0
Hawaii,15,28,394075,55-59,2002-2006,57,2004,1947,0
Idaho,16,15,385411,55-59,2002-2006,57,2004,1947,0
Illinois,17,142,3449147,55-59,2002-2006,57,2004,1947,0
Indiana,18,32,1771477,55-59,2002-2006,57,2004,1947,0
Iowa,19,15,842621,55-59,2002-2006,57,2004,1947,0
Kansas,20,18,751954,55-59,2002-2006,57,2004,1947,0
Kentucky,21,43,1244856,55-59,2002-2006,57,2004,1947,0
Louisiana,22,30,1260785,55-59,2002-2006,57,2004,1947,0
Maine,23,23,436785,55-59,2002-2006,57,2004,1947,0
Maryland,24,115,1656173,55-59,2002-2006,57,2004,1947,0
Massachusetts,25,97,1898202,55-59,2002-2006,57,2004,1947,0
Michigan,26,116,2925999,55-59,2002-2006,57,2004,1947,0
Minnesota,27,42,1405863,55-59,2002-2006,57,2004,1947,0
Mississippi,28,10,806676,55-59,2002-2006,57,2004,1947,-1
Missouri,29,58,1662634,55-59,2002-2006,57,2004,1947,0
Montana,30,10,298286,55-59,2002-2006,57,2004,1947,-1
Nebraska,31,10,479324,55-59,2002-2006,57,2004,1947,-1
Nevada,32,99,704622,55-59,2002-2006,57,2004,1947,0
New Hampshire,33,20,406521,55-59,2002-2006,57,2004,1947,0
New Jersey,34,82,2524880,55-59,2002-2006,57,2004,1947,0
New Mexico,35,81,559635,55-59,2002-2006,57,2004,1947,0
New York,36,214,5558647,55-59,2002-2006,57,2004,1947,0
North Carolina,37,126,2536136,55-59,2002-2006,57,2004,1947,0
North Dakota,38,10,177022,55-59,2002-2006,57,2004,1947,-1
Ohio,39,140,3367791,55-59,2002-2006,57,2004,1947,0
Oklahoma,40,78,1022068,55-59,2002-2006,57,2004,1947,0
Oregon,41,103,1127621,55-59,2002-2006,57,2004,1947,0
Pennsylvania,42,64,3744581,55-59,2002-2006,57,2004,1947,0
Rhode Island,44,25,311234,55-59,2002-2006,57,2004,1947,0
South Carolina,45,45,1293846,55-59,2002-2006,57,2004,1947,0
South Dakota,46,10,210624,55-59,2002-2006,57,2004,1947,-1
Tennessee,47,96,1798130,55-59,2002-2006,57,2004,1947,0
Texas,48,234,5710371,55-59,2002-2006,57,2004,1947,0
Utah,49,70,510934,55-59,2002-2006,57,2004,1947,0
Vermont,50,10,206326,55-59,2002-2006,57,2004,1947,0
Virginia,51,69,2243279,55-59,2002-2006,57,2004,1947,0
Washington,53,235,1862043,55-59,2002-2006,57,2004,1947,0
West Virginia,54,44,610009,55-59,2002-2006,57,2004,1947,0
Wisconsin,55,59,1571585,55-59,2002-2006,57,2004,1947,0
Wyoming,56,10,158944,55-59,2002-2006,57,2004,1947,-1
Alabama,1,10,1067952,60-64,2002-2006,62,2004,1942,-1
Alaska,2,10,118600,60-64,2002-2006,62,2004,1942,-1
Arizona,4,38,1265598,60-64,2002-2006,62,2004,1942,0
Arkansas,5,11,668390,60-64,2002-2006,62,2004,1942,0
California,6,297,6733880,60-64,2002-2006,62,2004,1942,0
Colorado,8,27,898945,60-64,2002-2006,62,2004,1942,0
Connecticut,9,11,784494,60-64,2002-2006,62,2004,1942,0
Delaware,10,10,196506,60-64,2002-2006,62,2004,1942,-1
District of Columbia,11,10,122383,60-64,2002-2006,62,2004,1942,-1
Florida,12,106,4413355,60-64,2002-2006,62,2004,1942,0
Georgia,13,30,1749702,60-64,2002-2006,62,2004,1942,0
Hawaii,15,13,287196,60-64,2002-2006,62,2004,1942,0
Idaho,16,10,295811,60-64,2002-2006,62,2004,1942,-1
Illinois,17,34,2599064,60-64,2002-2006,62,2004,1942,0
Indiana,18,10,1347007,60-64,2002-2006,62,2004,1942,0
Iowa,19,10,650130,60-64,2002-2006,62,2004,1942,-1
Kansas,20,10,558947,60-64,2002-2006,62,2004,1942,-1
Kentucky,21,14,961182,60-64,2002-2006,62,2004,1942,0
Louisiana,22,10,957401,60-64,2002-2006,62,2004,1942,0
Maine,23,10,325868,60-64,2002-2006,62,2004,1942,-1
Maryland,24,34,1205811,60-64,2002-2006,62,2004,1942,0
Massachusetts,25,25,1383804,60-64,2002-2006,62,2004,1942,0
Michigan,26,48,2195934,60-64,2002-2006,62,2004,1942,0
Minnesota,27,16,1045740,60-64,2002-2006,62,2004,1942,0
Mississippi,28,10,626682,60-64,2002-2006,62,2004,1942,-1
Missouri,29,19,1310002,60-64,2002-2006,62,2004,1942,0
Montana,30,10,227211,60-64,2002-2006,62,2004,1942,-1
Nebraska,31,10,358242,60-64,2002-2006,62,2004,1942,-1
Nevada,32,67,559231,60-64,2002-2006,62,2004,1942,0
New Hampshire,33,10,290150,60-64,2002-2006,62,2004,1942,-1
New Jersey,34,28,1896446,60-64,2002-2006,62,2004,1942,0
New Mexico,35,28,424563,60-64,2002-2006,62,2004,1942,0
New York,36,68,4202125,60-64,2002-2006,62,2004,1942,0
North Carolina,37,47,1940075,60-64,2002-2006,62,2004,1942,0
North Dakota,38,10,134240,60-64,2002-2006,62,2004,1942,-1
Ohio,39,50,2542989,60-64,2002-2006,62,2004,1942,0
Oklahoma,40,26,811453,60-64,2002-2006,62,2004,1942,0
Oregon,41,41,822719,60-64,2002-2006,62,2004,1942,0
Pennsylvania,42,19,2871276,60-64,2002-2006,62,2004,1942,0
Rhode Island,44,10,227676,60-64,2002-2006,62,2004,1942,-1
South Carolina,45,15,1007262,60-64,2002-2006,62,2004,1942,0
South Dakota,46,10,162577,60-64,2002-2006,62,2004,1942,-1
Tennessee,47,32,1395333,60-64,2002-2006,62,2004,1942,0
Texas,48,91,4203241,60-64,2002-2006,62,2004,1942,0
Utah,49,29,383356,60-64,2002-2006,62,2004,1942,0
Vermont,50,10,149549,60-64,2002-2006,62,2004,1942,-1
Virginia,51,33,1650591,60-64,2002-2006,62,2004,1942,0
Washington,53,74,1327364,60-64,2002-2006,62,2004,1942,0
West Virginia,54,11,473287,60-64,2002-2006,62,2004,1942,0
Wisconsin,55,29,1175565,60-64,2002-2006,62,2004,1942,0
Wyoming,56,10,117406,60-64,2002-2006,62,2004,1942,-1
Alabama,1,32,1710772,15-19,2007-2011,17,2009,1992,0
Alaska,2,10,265527,15-19,2007-2011,17,2009,1992,-1
Arizona,4,111,2280200,15-19,2007-2011,17,2009,1992,0
Arkansas,5,32,1010882,15-19,2007-2011,17,2009,1992,0
California,6,228,14029243,15-19,2007-2011,17,2009,1992,0
Colorado,8,52,1698430,15-19,2007-2011,17,2009,1992,0
Connecticut,9,32,1265624,15-19,2007-2011,17,2009,1992,0
Delaware,10,12,321263,15-19,2007-2011,17,2009,1992,0
District of Columbia,11,10,200261,15-19,2007-2011,17,2009,1992,-1
Florida,12,212,6136828,15-19,2007-2011,17,2009,1992,0
Georgia,13,82,3525845,15-19,2007-2011,17,2009,1992,0
Hawaii,15,10,429836,15-19,2007-2011,17,2009,1992,-1
Idaho,16,11,579392,15-19,2007-2011,17,2009,1992,0
Illinois,17,128,4619019,15-19,2007-2011,17,2009,1992,0
Indiana,18,49,2377210,15-19,2007-2011,17,2009,1992,0
Iowa,19,23,1093761,15-19,2007-2011,17,2009,1992,0
Kansas,20,20,1027396,15-19,2007-2011,17,2009,1992,0
Kentucky,21,39,1477757,15-19,2007-2011,17,2009,1992,0
Louisiana,22,23,1632388,15-19,2007-2011,17,2009,1992,0
Maine,23,10,450429,15-19,2007-2011,17,2009,1992,-1
Maryland,24,73,2041081,15-19,2007-2011,17,2009,1992,0
Massachusetts,25,43,2328142,15-19,2007-2011,17,2009,1992,0
Michigan,26,83,3734830,15-19,2007-2011,17,2009,1992,0
Minnesota,27,39,1866104,15-19,2007-2011,17,2009,1992,0
Mississippi,28,10,1125132,15-19,2007-2011,17,2009,1992,-1
Missouri,29,91,2128342,15-19,2007-2011,17,2009,1992,0
Montana,30,10,341045,15-19,2007-2011,17,2009,1992,-1
Nebraska,31,10,652811,15-19,2007-2011,17,2009,1992,-1
Nevada,32,68,895814,15-19,2007-2011,17,2009,1992,0
New Hampshire,33,15,476390,15-19,2007-2011,17,2009,1992,0
New Jersey,34,44,2997607,15-19,2007-2011,17,2009,1992,0
New Mexico,35,48,748549,15-19,2007-2011,17,2009,1992,0
New York,36,138,6849692,15-19,2007-2011,17,2009,1992,0
North Carolina,37,143,3280252,15-19,2007-2011,17,2009,1992,0
North Dakota,38,10,241811,15-19,2007-2011,17,2009,1992,-1
Ohio,39,86,4141546,15-19,2007-2011,17,2009,1992,0
Oklahoma,40,84,1321922,15-19,2007-2011,17,2009,1992,0
Oregon,41,41,1279433,15-19,2007-2011,17,2009,1992,0
Pennsylvania,42,106,4552476,15-19,2007-2011,17,2009,1992,0
Rhode Island,44,11,404415,15-19,2007-2011,17,2009,1992,0
South Carolina,45,25,1642582,15-19,2007-2011,17,2009,1992,0
South Dakota,46,10,291943,15-19,2007-2011,17,2009,1992,-1
Tennessee,47,55,2172014,15-19,2007-2011,17,2009,1992,0
Texas,48,262,9303741,15-19,2007-2011,17,2009,1992,0
Utah,49,53,1096360,15-19,2007-2011,17,2009,1992,0
Vermont,50,10,235114,15-19,2007-2011,17,2009,1992,-1
Virginia,51,54,2752636,15-19,2007-2011,17,2009,1992,0
Washington,53,79,2303807,15-19,2007-2011,17,2009,1992,0
West Virginia,54,31,601235,15-19,2007-2011,17,2009,1992,0
Wisconsin,55,73,2025151,15-19,2007-2011,17,2009,1992,0
Wyoming,56,10,191852,15-19,2007-2011,17,2009,1992,-1
Alabama,1,91,1670887,20-24,2007-2011,22,2009,1987,0
Alaska,2,30,271503,20-24,2007-2011,22,2009,1987,0
Arizona,4,249,2208796,20-24,2007-2011,22,2009,1987,0
Arkansas,5,106,994340,20-24,2007-2011,22,2009,1987,0
California,6,650,13698523,20-24,2007-2011,22,2009,1987,0
Colorado,8,161,1739529,20-24,2007-2011,22,2009,1987,0
Connecticut,9,133,1117865,20-24,2007-2011,22,2009,1987,0
Delaware,10,38,310774,20-24,2007-2011,22,2009,1987,0
District of Columbia,11,10,303774,20-24,2007-2011,22,2009,1987,-1
Florida,12,631,6133804,20-24,2007-2011,22,2009,1987,0
Georgia,13,229,3384128,20-24,2007-2011,22,2009,1987,0
Hawaii,15,15,478031,20-24,2007-2011,22,2009,1987,0
Idaho,16,27,544235,20-24,2007-2011,22,2009,1987,0
Illinois,17,483,4398742,20-24,2007-2011,22,2009,1987,0
Indiana,18,163,2256759,20-24,2007-2011,22,2009,1987,0
Iowa,19,59,1074750,20-24,2007-2011,22,2009,1987,0
Kansas,20,45,1030721,20-24,2007-2011,22,2009,1987,0
Kentucky,21,169,1457481,20-24,2007-2011,22,2009,1987,0
Louisiana,22,66,1687471,20-24,2007-2011,22,2009,1987,0
Maine,23,50,399509,20-24,2007-2011,22,2009,1987,0
Maryland,24,234,1938465,20-24,2007-2011,22,2009,1987,0
Massachusetts,25,253,2330990,20-24,2007-2011,22,2009,1987,0
Michigan,26,290,3367234,20-24,2007-2011,22,2009,1987,0
Minnesota,27,99,1792825,20-24,2007-2011,22,2009,1987,0
Mississippi,28,31,1062927,20-24,2007-2011,22,2009,1987,0
Missouri,29,264,2068397,20-24,2007-2011,22,2009,1987,0
Montana,30,27,341913,20-24,2007-2011,22,2009,1987,0
Nebraska,31,16,651329,20-24,2007-2011,22,2009,1987,0
Nevada,32,176,887339,20-24,2007-2011,22,2009,1987,0
New Hampshire,33,58,420521,20-24,2007-2011,22,2009,1987,0
New Jersey,34,189,2662975,20-24,2007-2011,22,2009,1987,0
New Mexico,35,114,714671,20-24,2007-2011,22,2009,1987,0
New York,36,478,6939634,20-24,2007-2011,22,2009,1987,0
North Carolina,37,350,3252166,20-24,2007-2011,22,2009,1987,0
North Dakota,38,10,298915,20-24,2007-2011,22,2009,1987,-1
Ohio,39,361,3803451,20-24,2007-2011,22,2009,1987,0
Oklahoma,40,189,1356992,20-24,2007-2011,22,2009,1987,0
Oregon,41,122,1270249,20-24,2007-2011,22,2009,1987,0
Pennsylvania,42,370,4299285,20-24,2007-2011,22,2009,1987,0
Rhode Island,44,28,406994,20-24,2007-2011,22,2009,1987,0
South Carolina,45,98,1636644,20-24,2007-2011,22,2009,1987,0
South Dakota,46,12,289802,20-24,2007-2011,22,2009,1987,0
Tennessee,47,212,2116699,20-24,2007-2011,22,2009,1987,0
Texas,48,596,9033172,20-24,2007-2011,22,2009,1987,0
Utah,49,211,1150759,20-24,2007-2011,22,2009,1987,0
Vermont,50,19,219528,20-24,2007-2011,22,2009,1987,0
Virginia,51,235,2852662,20-24,2007-2011,22,2009,1987,0
Washington,53,211,2314022,20-24,2007-2011,22,2009,1987,0
West Virginia,54,140,587992,20-24,2007-2011,22,2009,1987,0
Wisconsin,55,170,1947706,20-24,2007-2011,22,2009,1987,0
Wyoming,56,12,204684,20-24,2007-2011,22,2009,1987,0
Alabama,1,133,1552348,25-29,2007-2011,27,2009,1982,0
Alaska,2,38,265274,25-29,2007-2011,27,2009,1982,0
Arizona,4,275,2233745,25-29,2007-2011,27,2009,1982,0
Arkansas,5,115,970535,25-29,2007-2011,27,2009,1982,0
California,6,706,13685308,25-29,2007-2011,27,2009,1982,0
Colorado,8,200,1828242,25-29,2007-2011,27,2009,1982,0
Connecticut,9,133,1047534,25-29,2007-2011,27,2009,1982,0
Delaware,10,56,289450,25-29,2007-2011,27,2009,1982,0
District of Columbia,11,10,329454,25-29,2007-2011,27,2009,1982,-1
Florida,12,933,5886603,25-29,2007-2011,27,2009,1982,0
Georgia,13,251,3390073,25-29,2007-2011,27,2009,1982,0
Hawaii,15,20,486227,25-29,2007-2011,27,2009,1982,0
Idaho,16,41,529990,25-29,2007-2011,27,2009,1982,0
Illinois,17,544,4537018,25-29,2007-2011,27,2009,1982,0
Indiana,18,215,2102850,25-29,2007-2011,27,2009,1982,0
Iowa,19,80,968766,25-29,2007-2011,27,2009,1982,0
Kansas,20,54,958965,25-29,2007-2011,27,2009,1982,0
Kentucky,21,282,1431973,25-29,2007-2011,27,2009,1982,0
Louisiana,22,102,1633960,25-29,2007-2011,27,2009,1982,0
Maine,23,66,363391,25-29,2007-2011,27,2009,1982,0
Maryland,24,328,1946833,25-29,2007-2011,27,2009,1982,0
Massachusetts,25,379,2179859,25-29,2007-2011,27,2009,1982,0
Michigan,26,365,2987590,25-29,2007-2011,27,2009,1982,0
Minnesota,27,114,1838420,25-29,2007-2011,27,2009,1982,0
Mississippi,28,45,996477,25-29,2007-2011,27,2009,1982,0
Missouri,29,327,2002424,25-29,2007-2011,27,2009,1982,0
Montana,30,35,311058,25-29,2007-2011,27,2009,1982,0
Nebraska,31,21,622088,25-29,2007-2011,27,2009,1982,0
Nevada,32,190,990632,25-29,2007-2011,27,2009,1982,0
New Hampshire,33,87,362053,25-29,2007-2011,27,2009,1982,0
New Jersey,34,192,2752971,25-29,2007-2011,27,2009,1982,0
New Mexico,35,143,692451,25-29,2007-2011,27,2009,1982,0
New York,36,589,6850814,25-29,2007-2011,27,2009,1982,0
North Carolina,37,475,3083627,25-29,2007-2011,27,2009,1982,0
North Dakota,38,10,235051,25-29,2007-2011,27,2009,1982,-1
Ohio,39,534,3654493,25-29,2007-2011,27,2009,1982,0
Oklahoma,40,235,1303390,25-29,2007-2011,27,2009,1982,0
Oregon,41,174,1312743,25-29,2007-2011,27,2009,1982,0
Pennsylvania,42,446,3899183,25-29,2007-2011,27,2009,1982,0
Rhode Island,44,52,330911,25-29,2007-2011,27,2009,1982,0
South Carolina,45,121,1514451,25-29,2007-2011,27,2009,1982,0
South Dakota,46,14,270624,25-29,2007-2011,27,2009,1982,0
Tennessee,47,274,2104449,25-29,2007-2011,27,2009,1982,0
Texas,48,706,9140534,25-29,2007-2011,27,2009,1982,0
Utah,49,266,1132727,25-29,2007-2011,27,2009,1982,0
Vermont,50,26,173242,25-29,2007-2011,27,2009,1982,0
Virginia,51,316,2769214,25-29,2007-2011,27,2009,1982,0
Washington,53,315,2378000,25-29,2007-2011,27,2009,1982,0
West Virginia,54,242,549067,25-29,2007-2011,27,2009,1982,0
Wisconsin,55,240,1829025,25-29,2007-2011,27,2009,1982,0
Wyoming,56,24,199130,25-29,2007-2011,27,2009,1982,0
Alabama,1,122,1469060,30-34,2007-2011,32,2009,1977,0
Alaska,2,25,230604,30-34,2007-2011,32,2009,1977,0
Arizona,4,290,2062860,30-34,2007-2011,32,2009,1977,0
Arkansas,5,121,900582,30-34,2007-2011,32,2009,1977,0
California,6,732,12732100,30-34,2007-2011,32,2009,1977,0
Colorado,8,179,1744741,30-34,2007-2011,32,2009,1977,0
Connecticut,9,107,1027920,30-34,2007-2011,32,2009,1977,0
Delaware,10,50,264568,30-34,2007-2011,32,2009,1977,0
District of Columbia,11,10,266727,30-34,2007-2011,32,2009,1977,-1
Florida,12,904,5503174,30-34,2007-2011,32,2009,1977,0
Georgia,13,267,3293193,30-34,2007-2011,32,2009,1977,0
Hawaii,15,19,430537,30-34,2007-2011,32,2009,1977,0
Idaho,16,33,499578,30-34,2007-2011,32,2009,1977,0
Illinois,17,541,4297614,30-34,2007-2011,32,2009,1977,0
Indiana,18,183,2022109,30-34,2007-2011,32,2009,1977,0
Iowa,19,75,908397,30-34,2007-2011,32,2009,1977,0
Kansas,20,64,884998,30-34,2007-2011,32,2009,1977,0
Kentucky,21,347,1384692,30-34,2007-2011,32,2009,1977,0
Louisiana,22,86,1418831,30-34,2007-2011,32,2009,1977,0
Maine,23,66,359439,30-34,2007-2011,32,2009,1977,0
Maryland,24,262,1810134,30-34,2007-2011,32,2009,1977,0
Massachusetts,25,395,2007762,30-34,2007-2011,32,2009,1977,0
Michigan,26,371,2892929,30-34,2007-2011,32,2009,1977,0
Minnesota,27,110,1686576,30-34,2007-2011,32,2009,1977,0
Mississippi,28,54,925854,30-34,2007-2011,32,2009,1977,0
Missouri,29,329,1829377,30-34,2007-2011,32,2009,1977,0
Montana,30,32,285948,30-34,2007-2011,32,2009,1977,0
Nebraska,31,21,575278,30-34,2007-2011,32,2009,1977,0
Nevada,32,211,940028,30-34,2007-2011,32,2009,1977,0
New Hampshire,33,59,360286,30-34,2007-2011,32,2009,1977,0
New Jersey,34,146,2769115,30-34,2007-2011,32,2009,1977,0
New Mexico,35,138,620015,30-34,2007-2011,32,2009,1977,0
New York,36,560,6322105,30-34,2007-2011,32,2009,1977,0
North Carolina,37,424,3088318,30-34,2007-2011,32,2009,1977,0
North Dakota,38,14,199480,30-34,2007-2011,32,2009,1977,0
Ohio,39,567,3418379,30-34,2007-2011,32,2009,1977,0
Oklahoma,40,274,1175977,30-34,2007-2011,32,2009,1977,0
Oregon,41,187,1271590,30-34,2007-2011,32,2009,1977,0
Pennsylvania,42,362,3603444,30-34,2007-2011,32,2009,1977,0
Rhode Island,44,58,305602,30-34,2007-2011,32,2009,1977,0
South Carolina,45,112,1417068,30-34,2007-2011,32,2009,1977,0
South Dakota,46,23,242668,30-34,2007-2011,32,2009,1977,0
Tennessee,47,324,2008088,30-34,2007-2011,32,2009,1977,0
Texas,48,540,8655744,30-34,2007-2011,32,2009,1977,0
Utah,49,242,1043872,30-34,2007-2011,32,2009,1977,0
Vermont,50,27,170309,30-34,2007-2011,32,2009,1977,0
Virginia,51,285,2596916,30-34,2007-2011,32,2009,1977,0
Washington,53,305,2212532,30-34,2007-2011,32,2009,1977,0
West Virginia,54,277,554973,30-34,2007-2011,32,2009,1977,0
Wisconsin,55,228,1727777,30-34,2007-2011,32,2009,1977,0
Wyoming,56,18,173619,30-34,2007-2011,32,2009,1977,0
Alabama,1,117,1543449,35-39,2007-2011,37,2009,1972,0
Alaska,2,43,228782,35-39,2007-2011,37,2009,1972,0
Arizona,4,257,2083323,35-39,2007-2011,37,2009,1972,0
Arkansas,5,116,917831,35-39,2007-2011,37,2009,1972,0
California,6,820,13035999,35-39,2007-2011,37,2009,1972,0
Colorado,8,184,1771971,35-39,2007-2011,37,2009,1972,0
Connecticut,9,133,1151629,35-39,2007-2011,37,2009,1972,0
Delaware,10,50,281954,35-39,2007-2011,37,2009,1972,0
District of Columbia,11,10,216650,35-39,2007-2011,37,2009,1972,-1
Florida,12,804,5962806,35-39,2007-2011,37,2009,1972,0
Georgia,13,253,3516614,35-39,2007-2011,37,2009,1972,0
Hawaii,15,35,435802,35-39,2007-2011,37,2009,1972,0
Idaho,16,48,483134,35-39,2007-2011,37,2009,1972,0
Illinois,17,533,4340099,35-39,2007-2011,37,2009,1972,0
Indiana,18,178,2103415,35-39,2007-2011,37,2009,1972,0
Iowa,19,89,897047,35-39,2007-2011,37,2009,1972,0
Kansas,20,70,867830,35-39,2007-2011,37,2009,1972,0
Kentucky,21,355,1438407,35-39,2007-2011,37,2009,1972,0
Louisiana,22,80,1389529,35-39,2007-2011,37,2009,1972,0
Maine,23,57,412087,35-39,2007-2011,37,2009,1972,0
Maryland,24,297,1931487,35-39,2007-2011,37,2009,1972,0
Massachusetts,25,369,2148417,35-39,2007-2011,37,2009,1972,0
Michigan,26,376,3163313,35-39,2007-2011,37,2009,1972,0
Minnesota,27,136,1676320,35-39,2007-2011,37,2009,1972,0
Mississippi,28,62,940881,35-39,2007-2011,37,2009,1972,0
Missouri,29,298,1861069,35-39,2007-2011,37,2009,1972,0
Montana,30,41,278517,35-39,2007-2011,37,2009,1972,0
Nebraska,31,37,553535,35-39,2007-2011,37,2009,1972,0
Nevada,32,203,963238,35-39,2007-2011,37,2009,1972,0
New Hampshire,33,48,426208,35-39,2007-2011,37,2009,1972,0
New Jersey,34,200,3008260,35-39,2007-2011,37,2009,1972,0
New Mexico,35,118,615698,35-39,2007-2011,37,2009,1972,0
New York,36,570,6427977,35-39,2007-2011,37,2009,1972,0
North Carolina,37,452,3314876,35-39,2007-2011,37,2009,1972,0
North Dakota,38,10,185203,35-39,2007-2011,37,2009,1972,-1
Ohio,39,523,3667659,35-39,2007-2011,37,2009,1972,0
Oklahoma,40,259,1156477,35-39,2007-2011,37,2009,1972,0
Oregon,41,201,1263998,35-39,2007-2011,37,2009,1972,0
Pennsylvania,42,314,3911596,35-39,2007-2011,37,2009,1972,0
Rhode Island,44,64,331080,35-39,2007-2011,37,2009,1972,0
South Carolina,45,130,1490292,35-39,2007-2011,37,2009,1972,0
South Dakota,46,17,229492,35-39,2007-2011,37,2009,1972,0
Tennessee,47,347,2130914,35-39,2007-2011,37,2009,1972,0
Texas,48,592,8743123,35-39,2007-2011,37,2009,1972,0
Utah,49,207,867540,35-39,2007-2011,37,2009,1972,0
Vermont,50,27,187654,35-39,2007-2011,37,2009,1972,0
Virginia,51,314,2726765,35-39,2007-2011,37,2009,1972,0
Washington,53,340,2268082,35-39,2007-2011,37,2009,1972,0
West Virginia,54,264,586607,35-39,2007-2011,37,2009,1972,0
Wisconsin,55,232,1761529,35-39,2007-2011,37,2009,1972,0
Wyoming,56,26,166936,35-39,2007-2011,37,2009,1972,0
Alabama,1,120,1582543,40-44,2007-2011,42,2009,1967,0
Alaska,2,34,239579,40-44,2007-2011,42,2009,1967,0
Arizona,4,331,2049889,40-44,2007-2011,42,2009,1967,0
Arkansas,5,129,934616,40-44,2007-2011,42,2009,1967,0
California,6,1097,13142786,40-44,2007-2011,42,2009,1967,0
Colorado,8,247,1739206,40-44,2007-2011,42,2009,1967,0
Connecticut,9,170,1340276,40-44,2007-2011,42,2009,1967,0
Delaware,10,60,309671,40-44,2007-2011,42,2009,1967,0
District of Columbia,11,24,190382,40-44,2007-2011,42,2009,1967,0
Florida,12,983,6404307,40-44,2007-2011,42,2009,1967,0
Georgia,13,325,3530889,40-44,2007-2011,42,2009,1967,0
Hawaii,15,38,450052,40-44,2007-2011,42,2009,1967,0
Idaho,16,35,477969,40-44,2007-2011,42,2009,1967,0
Illinois,17,561,4426161,40-44,2007-2011,42,2009,1967,0
Indiana,18,195,2171529,40-44,2007-2011,42,2009,1967,0
Iowa,19,95,960900,40-44,2007-2011,42,2009,1967,0
Kansas,20,90,891159,40-44,2007-2011,42,2009,1967,0
Kentucky,21,361,1488328,40-44,2007-2011,42,2009,1967,0
Louisiana,22,93,1466080,40-44,2007-2011,42,2009,1967,0
Maine,23,69,473088,40-44,2007-2011,42,2009,1967,0
Maryland,24,385,2140527,40-44,2007-2011,42,2009,1967,0
Massachusetts,25,419,2395642,40-44,2007-2011,42,2009,1967,0
Michigan,26,389,3424775,40-44,2007-2011,42,2009,1967,0
Minnesota,27,164,1812374,40-44,2007-2011,42,2009,1967,0
Mississippi,28,61,958271,40-44,2007-2011,42,2009,1967,0
Missouri,29,326,1957227,40-44,2007-2011,42,2009,1967,0
Montana,30,52,296272,40-44,2007-2011,42,2009,1967,0
Nebraska,31,34,564268,40-44,2007-2011,42,2009,1967,0
Nevada,32,290,958789,40-44,2007-2011,42,2009,1967,0
New Hampshire,33,97,501331,40-44,2007-2011,42,2009,1967,0
New Jersey,34,223,3319941,40-44,2007-2011,42,2009,1967,0
New Mexico,35,160,638361,40-44,2007-2011,42,2009,1967,0
New York,36,772,6915710,40-44,2007-2011,42,2009,1967,0
North Carolina,37,582,3355069,40-44,2007-2011,42,2009,1967,0
North Dakota,38,11,196092,40-44,2007-2011,42,2009,1967,0
Ohio,39,643,3899570,40-44,2007-2011,42,2009,1967,0
Oklahoma,40,305,1161440,40-44,2007-2011,42,2009,1967,0
Oregon,41,223,1244498,40-44,2007-2011,42,2009,1967,0
Pennsylvania,42,382,4352960,40-44,2007-2011,42,2009,1967,0
Rhode Island,44,81,374422,40-44,2007-2011,42,2009,1967,0
South Carolina,45,142,1544992,40-44,2007-2011,42,2009,1967,0
South Dakota,46,26,243787,40-44,2007-2011,42,2009,1967,0
Tennessee,47,398,2187526,40-44,2007-2011,42,2009,1967,0
Texas,48,630,8484887,40-44,2007-2011,42,2009,1967,0
Utah,49,214,763268,40-44,2007-2011,42,2009,1967,0
Vermont,50,33,216882,40-44,2007-2011,42,2009,1967,0
Virginia,51,363,2887673,40-44,2007-2011,42,2009,1967,0
Washington,53,419,2310867,40-44,2007-2011,42,2009,1967,0
West Virginia,54,283,611502,40-44,2007-2011,42,2009,1967,0
Wisconsin,55,228,1956514,40-44,2007-2011,42,2009,1967,0
Wyoming,56,24,167139,40-44,2007-2011,42,2009,1967,0
Alabama,1,138,1727424,45-49,2007-2011,47,2009,1962,0
Alaska,2,50,275671,45-49,2007-2011,47,2009,1962,0
Arizona,4,396,2119722,45-49,2007-2011,47,2009,1962,0
Arkansas,5,147,1018401,45-49,2007-2011,47,2009,1962,0
California,6,1544,13394974,45-49,2007-2011,47,2009,1962,0
Colorado,8,256,1860695,45-49,2007-2011,47,2009,1962,0
Connecticut,9,186,1455324,45-49,2007-2011,47,2009,1962,0
Delaware,10,64,335583,45-49,2007-2011,47,2009,1962,0
District of Columbia,11,24,192040,45-49,2007-2011,47,2009,1962,0
Florida,12,1251,6943809,45-49,2007-2011,47,2009,1962,0
Georgia,13,360,3558836,45-49,2007-2011,47,2009,1962,0
Hawaii,15,63,477923,45-49,2007-2011,47,2009,1962,0
Idaho,16,58,518468,45-49,2007-2011,47,2009,1962,0
Illinois,17,633,4723457,45-49,2007-2011,47,2009,1962,0
Indiana,18,224,2372144,45-49,2007-2011,47,2009,1962,0
Iowa,19,128,1091802,45-49,2007-2011,47,2009,1962,0
Kansas,20,108,1015224,45-49,2007-2011,47,2009,1962,0
Kentucky,21,374,1613178,45-49,2007-2011,47,2009,1962,0
Louisiana,22,104,1626424,45-49,2007-2011,47,2009,1962,0
Maine,23,95,541887,45-49,2007-2011,47,2009,1962,0
Maryland,24,499,2295680,45-49,2007-2011,47,2009,1962,0
Massachusetts,25,481,2565985,45-49,2007-2011,47,2009,1962,0
