State,state_code,deaths,Pop,Age_grp,Year_grp,age,year,cohort,censor
New York,36,206,6552203,20-24,2002-2006,22,2004,1982,0
North Carolina,37,266,2997466,20-24,2002-2006,22,2004,1982,0
North Dakota,38,10,296628,20-24,2002-2006,22,2004,1982,-1
Ohio,39,222,3858516,20-24,2002-2006,22,2004,1982,0
Oklahoma,40,119,1370969,20-24,2002-2006,22,2004,1982,0
Oregon,41,62,1246912,20-24,2002-2006,22,2004,1982,0
Pennsylvania,42,307,4047983,20-24,2002-2006,22,2004,1982,0
Rhode Island,44,30,390988,20-24,2002-2006,22,2004,1982,0
South Carolina,45,49,1519595,20-24,2002-2006,22,2004,1982,0
South Dakota,46,10,293105,20-24,2002-2006,22,2004,1982,-1
Tennessee,47,148,2062136,20-24,2002-2006,22,2004,1982,0
Texas,48,408,8625571,20-24,2002-2006,22,2004,1982,0
Utah,49,170,1205279,20-24,2002-2006,22,2004,1982,0
Vermont,50,26,212118,20-24,2002-2006,22,2004,1982,0
Virginia,51,182,2682254,20-24,2002-2006,22,2004,1982,0
Washington,53,143,2215841,20-24,2002-2006,22,2004,1982,0
West Virginia,54,126,615071,20-24,2002-2006,22,2004,1982,0
Wisconsin,55,95,1959804,20-24,2002-2006,22,2004,1982,0
Wyoming,56,10,198583,20-24,2002-2006,22,2004,1982,-1
Alabama,1,48,1438635,25-29,2002-2006,27,2004,1977,0
Alaska,2,10,216176,25-29,2002-2006,27,2004,1977,-1
Arizona,4,109,2019723,25-29,2002-2006,27,2004,1977,0
Arkansas,5,69,901683,25-29,2002-2006,27,2004,1977,0
California,6,408,12827229,25-29,2002-2006,27,2004,1977,0
Colorado,8,109,1640479,25-29,2002-2006,27,2004,1977,0
Connecticut,9,88,962789,25-29,2002-2006,27,2004,1977,0
Delaware,10,24,265451,25-29,2002-2006,27,2004,1977,0
District of Columbia,11,10,266975,25-29,2002-2006,27,2004,1977,-1
Florida,12,587,5185727,25-29,2002-2006,27,2004,1977,0
Georgia,13,140,3128217,25-29,2002-2006,27,2004,1977,0
Hawaii,15,17,431389,25-29,2002-2006,27,2004,1977,0
Idaho,16,20,456123,25-29,2002-2006,27,2004,1977,0
Illinois,17,336,4313528,25-29,2002-2006,27,2004,1977,0
Indiana,18,83,1985824,25-29,2002-2006,27,2004,1977,0
Iowa,19,38,851934,25-29,2002-2006,27,2004,1977,0
Kansas,20,41,830322,25-29,2002-2006,27,2004,1977,0
Kentucky,21,166,1348206,25-29,2002-2006,27,2004,1977,0
Louisiana,22,100,1483190,25-29,2002-2006,27,2004,1977,0
Maine,23,66,344159,25-29,2002-2006,27,2004,1977,0
Maryland,24,213,1746349,25-29,2002-2006,27,2004,1977,0
Massachusetts,25,277,2072511,25-29,2002-2006,27,2004,1977,0
Michigan,26,192,2994880,25-29,2002-2006,27,2004,1977,0
Minnesota,27,68,1621103,25-29,2002-2006,27,2004,1977,0
Mississippi,28,22,925962,25-29,2002-2006,27,2004,1977,0
Missouri,29,137,1794743,25-29,2002-2006,27,2004,1977,0
Montana,30,14,252608,25-29,2002-2006,27,2004,1977,0
Nebraska,31,11,540635,25-29,2002-2006,27,2004,1977,0
Nevada,32,113,846544,25-29,2002-2006,27,2004,1977,0
New Hampshire,33,49,334360,25-29,2002-2006,27,2004,1977,0
New Jersey,34,217,2648442,25-29,2002-2006,27,2004,1977,0
New Mexico,35,79,607763,25-29,2002-2006,27,2004,1977,0
New York,36,213,6474834,25-29,2002-2006,27,2004,1977,0
North Carolina,37,285,2841339,25-29,2002-2006,27,2004,1977,0
North Dakota,38,10,180590,25-29,2002-2006,27,2004,1977,-1
Ohio,39,260,3560391,25-29,2002-2006,27,2004,1977,0
Oklahoma,40,109,1129451,25-29,2002-2006,27,2004,1977,0
Oregon,41,120,1184299,25-29,2002-2006,27,2004,1977,0
Pennsylvania,42,254,3594393,25-29,2002-2006,27,2004,1977,0
Rhode Island,44,44,327438,25-29,2002-2006,27,2004,1977,0
South Carolina,45,63,1376341,25-29,2002-2006,27,2004,1977,0
South Dakota,46,10,228689,25-29,2002-2006,27,2004,1977,-1
Tennessee,47,207,1963372,25-29,2002-2006,27,2004,1977,0
Texas,48,422,8103235,25-29,2002-2006,27,2004,1977,0
Utah,49,161,980124,25-29,2002-2006,27,2004,1977,0
Vermont,50,25,156861,25-29,2002-2006,27,2004,1977,0
Virginia,51,219,2449062,25-29,2002-2006,27,2004,1977,0
Washington,53,200,2052087,25-29,2002-2006,27,2004,1977,0
West Virginia,54,123,539405,25-29,2002-2006,27,2004,1977,0
Wisconsin,55,111,1635117,25-29,2002-2006,27,2004,1977,0
Wyoming,56,10,154014,25-29,2002-2006,27,2004,1977,-1
Alabama,1,36,1488797,30-34,2002-2006,32,2004,1972,0
Alaska,2,10,222041,30-34,2002-2006,32,2004,1972,-1
Arizona,4,173,1951688,30-34,2002-2006,32,2004,1972,0
Arkansas,5,65,877676,30-34,2002-2006,32,2004,1972,0
California,6,600,13150925,30-34,2002-2006,32,2004,1972,0
Colorado,8,122,1725547,30-34,2002-2006,32,2004,1972,0
Connecticut,9,106,1124731,30-34,2002-2006,32,2004,1972,0
Delaware,10,18,267471,30-34,2002-2006,32,2004,1972,0
District of Columbia,11,10,249370,30-34,2002-2006,32,2004,1972,-1
Florida,12,571,5551946,30-34,2002-2006,32,2004,1972,0
Georgia,13,143,3352879,30-34,2002-2006,32,2004,1972,0
Hawaii,15,17,423223,30-34,2002-2006,32,2004,1972,0
Idaho,16,22,448405,30-34,2002-2006,32,2004,1972,0
Illinois,17,386,4457622,30-34,2002-2006,32,2004,1972,0
Indiana,18,76,2073175,30-34,2002-2006,32,2004,1972,0
Iowa,19,35,904956,30-34,2002-2006,32,2004,1972,0
Kansas,20,42,875985,30-34,2002-2006,32,2004,1972,0
Kentucky,21,170,1416307,30-34,2002-2006,32,2004,1972,0
Louisiana,22,105,1437975,30-34,2002-2006,32,2004,1972,0
Maine,23,58,394076,30-34,2002-2006,32,2004,1972,0
Maryland,24,269,1882838,30-34,2002-2006,32,2004,1972,0
Massachusetts,25,335,2192380,30-34,2002-2006,32,2004,1972,0
Michigan,26,189,3319269,30-34,2002-2006,32,2004,1972,0
Minnesota,27,72,1680582,30-34,2002-2006,32,2004,1972,0
Mississippi,28,25,939852,30-34,2002-2006,32,2004,1972,0
Missouri,29,158,1848678,30-34,2002-2006,32,2004,1972,0
Montana,30,23,266794,30-34,2002-2006,32,2004,1972,0
Nebraska,31,16,565199,30-34,2002-2006,32,2004,1972,0
Nevada,32,130,871011,30-34,2002-2006,32,2004,1972,0
New Hampshire,33,45,412707,30-34,2002-2006,32,2004,1972,0
New Jersey,34,258,2964875,30-34,2002-2006,32,2004,1972,0
New Mexico,35,126,585618,30-34,2002-2006,32,2004,1972,0
New York,36,286,6630388,30-34,2002-2006,32,2004,1972,0
North Carolina,37,341,3127708,30-34,2002-2006,32,2004,1972,0
North Dakota,38,10,189364,30-34,2002-2006,32,2004,1972,-1
Ohio,39,272,3656063,30-34,2002-2006,32,2004,1972,0
Oklahoma,40,128,1134119,30-34,2002-2006,32,2004,1972,0
Oregon,41,140,1225251,30-34,2002-2006,32,2004,1972,0
Pennsylvania,42,230,3790671,30-34,2002-2006,32,2004,1972,0
Rhode Island,44,46,340648,30-34,2002-2006,32,2004,1972,0
South Carolina,45,76,1407494,30-34,2002-2006,32,2004,1972,0
South Dakota,46,14,225469,30-34,2002-2006,32,2004,1972,0
Tennessee,47,194,2040043,30-34,2002-2006,32,2004,1972,0
Texas,48,395,8273962,30-34,2002-2006,32,2004,1972,0
Utah,49,191,861576,30-34,2002-2006,32,2004,1972,0
Vermont,50,23,186814,30-34,2002-2006,32,2004,1972,0
Virginia,51,222,2642971,30-34,2002-2006,32,2004,1972,0
Washington,53,234,2149258,30-34,2002-2006,32,2004,1972,0
West Virginia,54,153,571074,30-34,2002-2006,32,2004,1972,0
Wisconsin,55,122,1768001,30-34,2002-2006,32,2004,1972,0
Wyoming,56,10,153650,30-34,2002-2006,32,2004,1972,-1
Alabama,1,48,1550951,35-39,2002-2006,37,2004,1967,0
Alaska,2,10,239352,35-39,2002-2006,37,2004,1967,-1
Arizona,4,251,1950728,35-39,2002-2006,37,2004,1967,0
Arkansas,5,79,915778,35-39,2002-2006,37,2004,1967,0
California,6,829,13508293,35-39,2002-2006,37,2004,1967,0
Colorado,8,171,1709523,35-39,2002-2006,37,2004,1967,0
Connecticut,9,143,1324519,35-39,2002-2006,37,2004,1967,0
Delaware,10,39,303021,35-39,2002-2006,37,2004,1967,0
District of Columbia,11,30,217107,35-39,2002-2006,37,2004,1967,0
Florida,12,686,6087634,35-39,2002-2006,37,2004,1967,0
Georgia,13,162,3432741,35-39,2002-2006,37,2004,1967,0
Hawaii,15,34,442916,35-39,2002-2006,37,2004,1967,0
Idaho,16,36,451977,35-39,2002-2006,37,2004,1967,0
Illinois,17,420,4558413,35-39,2002-2006,37,2004,1967,0
Indiana,18,80,2174246,35-39,2002-2006,37,2004,1967,0
